HCPCSCode,ShortDescriptor,StatusIndicator,PaymentRate,Changed?,Source
"0001A","Adm sarscov2 30mcg/0.3ml 1st","S",40.0,false,"2022-07"
"0001F","Heart failure composite","E1",,false,"2022-07"
"0001U","Rbc dna hea 35 ag 11 bld grp","A",,false,"2022-07"
"0002A","Adm sarscov2 30mcg/0.3ml 2nd","S",40.0,false,"2022-07"
"0002M","Liver dis 10 assays w/ash","Q4",,false,"2022-07"
"0002U","Onc clrct 3 ur metab alg plp","Q4",,false,"2022-07"
"0003A","Adm sarscov2 30mcg/0.3ml 3rd","S",40.0,false,"2022-07"
"0003M","Liver dis 10 assays w/nash","Q4",,false,"2022-07"
"0003U","Onc ovar 5 prtn ser alg scor","Q4",,false,"2022-07"
"0004A","Adm sarscov2 30mcg/0.3ml bst","S",40.0,false,"2022-07"
"0004M","Scoliosis dna alys","A",,false,"2022-07"
"0005F","Osteoarthritis composite","E1",,false,"2022-07"
"0005U","Onco prst8 3 gene ur alg","Q4",,false,"2022-07"
"0006M","Onc hep gene risk classifier","A",,false,"2022-07"
"0006U","Detc ia meds 120+ analytes","Q4",,false,"2020-04"
"0007M","Onc gastro 51 gene nomogram","A",,false,"2022-07"
"0007U","Rx test prsmv ur w/def conf","Q4",,false,"2022-07"
"0008U","Hpylori detcj abx rstnc dna","A",,false,"2022-07"
"0009M","Fetal aneuploidy trisom risk","A",,false,"2019"
"0009U","Onc brst ca erbb2 amp/nonamp","Q4",,false,"2022-07"
"00100","Anesth salivary gland","N",,false,"2022-07"
"00102","Anesth repair of cleft lip","N",,false,"2022-07"
"00103","Anesth blepharoplasty","N",,false,"2022-07"
"00104","Anesth electroshock","N",,false,"2022-07"
"0010U","Nfct ds strn typ whl gen seq","Q4",,false,"2022-07"
"0011A","Adm sarscov2 100mcg/0.5ml1st","S",40.0,false,"2022-07"
"0011M","Onc prst8 ca mrna 12 gen alg","A",,false,"2022-07"
"0011U","Rx mntr lc-ms/ms oral fluid","Q4",,false,"2022-07"
"00120","Anesth ear surgery","N",,false,"2022-07"
"00124","Anesth ear exam","N",,false,"2022-07"
"00126","Anesth tympanotomy","N",,false,"2022-07"
"0012A","Adm sarscov2 100mcg/0.5ml2nd","S",40.0,false,"2022-07"
"0012F","Cap bacterial assess","E1",,false,"2022-07"
"0012M","Onc mrna 5 gen rsk urthl ca","A",,false,"2022-07"
"0012U","Germln do gene reargmt detcj","A",,false,"2022-07"
"0013A","Adm sarscov2 100mcg/0.5ml3rd","S",40.0,false,"2022-07"
"0013M","Onc mrna 5 gen recr urthl ca","A",,false,"2022-07"
"0013U","Onc sld org neo gene reargmt","A",,false,"2022-07"
"00140","Anesth procedures on eye","N",,false,"2022-07"
"00142","Anesth lens surgery","N",,false,"2022-07"
"00144","Anesth corneal transplant","N",,false,"2022-07"
"00145","Anesth vitreoretinal surg","N",,false,"2022-07"
"00147","Anesth iridectomy","N",,false,"2022-07"
"00148","Anesth eye exam","N",,false,"2022-07"
"0014A","Fee covid-19 vac 2 res","E1",,false,"2022-07"
"0014F","Comp preop assess cat surg","E1",,false,"2022-07"
"0014M","Liver ds alys 3 bmrk srm alg","Q4",,false,"2022-07"
"0014U","Hem hmtlmf neo gene reargmt","A",,false,"2022-07"
"0015F","Melan follow-up complete","E1",,false,"2022-07"
"0015M","Adrnl cortcl tum bchm asy 25","Q4",,false,"2022-07"
"00160","Anesth nose/sinus surgery","N",,false,"2022-07"
"00162","Anesth nose/sinus surgery","N",,false,"2022-07"
"00164","Anesth biopsy of nose","N",,false,"2022-07"
"0016M","Onc bladder mrna 219 gen alg","A",,false,"2022-07"
"0016U","Onc hmtlmf neo rna bcr/abl1","A",,false,"2022-07"
"00170","Anesth procedure on mouth","N",,false,"2022-07"
"00172","Anesth cleft palate repair","N",,false,"2022-07"
"00174","Anesth pharyngeal surgery","N",,false,"2022-07"
"00176","Anesth pharyngeal surgery","C",,false,"2022-07"
"0017M","Onc dlbcl mrna 20 genes alg","A",,false,"2022-07"
"0017U","Onc hmtlmf neo jak2 mut dna","A",,false,"2022-07"
"0018M","Trnsplj rnl meas cd154+cll","Q4",,false,"2022-07"
"0018U","Onc thyr 10 microrna seq alg","A",,false,"2022-07"
"00190","Anesth face/skull bone surg","N",,false,"2022-07"
"00192","Anesth facial bone surgery","C",,false,"2022-07"
"0019U","Onc rna tiss predict alg","A",,false,"2022-07"
"00210","Anesth cranial surg nos","N",,false,"2022-07"
"00211","Anesth cran surg hemotoma","C",,false,"2022-07"
"00212","Anesth skull drainage","N",,false,"2022-07"
"00214","Anesth skull drainage","C",,false,"2022-07"
"00215","Anesth skull repair/fract","C",,false,"2022-07"
"00216","Anesth head vessel surgery","N",,false,"2022-07"
"00218","Anesth special head surgery","N",,false,"2022-07"
"0021A","Adm sarscov2 5x1010vp/.5ml 1","E1",,false,"2022-07"
"0021U","Onc prst8 detcj 8 autoantb","Q4",,false,"2022-07"
"00220","Anesth intrcrn nerve","N",,false,"2022-07"
"00222","Anesth head nerve surgery","N",,false,"2022-07"
"0022A","Adm sarscov2 5x1010vp/.5ml 2","E1",,false,"2022-07"
"0022U","Trgt gen seq dna&rna 1-23 gn","A",,false,"2022-07"
"0023A","Fee covid-19 vac 3 booster","E1",,false,"2022-07"
"0023U","Onc aml dna detcj/nondetcj","A",,false,"2022-07"
"0024A","Fee covid-19 vac 3 res","E1",,false,"2022-07"
"0024U","Glyca nuc mr spectrsc quan","Q4",,false,"2022-07"
"0025U","Tenofovir liq chrom ur quan","Q4",,false,"2022-07"
"0026U","Onc thyr dna&mrna 112 genes","A",,false,"2022-07"
"0027U","Jak2 gene trgt seq alys","A",,false,"2022-07"
"0029U","Rx metab advrs trgt seq alys","A",,false,"2022-07"
"00300","Anesth head/neck/ptrunk","N",,false,"2022-07"
"0030U","Rx metab warf trgt seq alys","A",,false,"2022-07"
"0031A","Adm sarscov2 vac ad26 .5ml","S",40.0,false,"2022-07"
"0031U","Cyp1a2 gene","A",,false,"2022-07"
"00320","Anesth neck organ 1yr/>","N",,false,"2022-07"
"00322","Anesth biopsy of thyroid","N",,false,"2022-07"
"00326","Anesth larynx/trach < 1 yr","N",,false,"2022-07"
"0032A","Fee covid-19 vac 4 dose 2","E1",,false,"2022-07"
"0032U","Comt gene","A",,false,"2022-07"
"0033A","Fee covid-19 vac 4 booster","E1",,false,"2022-07"
"0033U","Htr2a htr2c genes","A",,false,"2022-07"
"0034A","Adm sarscov2 vac ad26 .5ml b","S",40.0,false,"2022-07"
"0034U","Tpmt nudt15 genes","A",,false,"2022-07"
"00350","Anesth neck vessel surgery","N",,false,"2022-07"
"00352","Anesth neck vessel surgery","N",,false,"2022-07"
"0035U","Neuro csf prion prtn qual","Q4",,false,"2022-07"
"0036U","Xome tum & nml spec seq alys","A",,false,"2022-07"
"0037U","Trgt gen seq dna 324 genes","A",,false,"2022-07"
"0038U","Vitamin d srm microsamp quan","Q4",,false,"2022-07"
"0039U","Dna antb 2strand hi avidity","Q4",,false,"2022-07"
"00400","Anesth skin ext/per/atrunk","N",,false,"2022-07"
"00402","Anesth surgery of breast","N",,false,"2022-07"
"00404","Anesth surgery of breast","N",,false,"2022-07"
"00406","Anesth surgery of breast","N",,false,"2022-07"
"0040U","Bcr/abl1 gene major bp quan","A",,false,"2022-07"
"00410","Anesth correct heart rhythm","N",,false,"2022-07"
"0041A","Adm sarscov2 5mcg/0.5ml 1st","E1",,false,"2022-07"
"0041U","B brgdrferi antb 5 prtn igm","Q4",,false,"2022-07"
"0042A","Adm sarscov2 5mcg/0.5ml 2nd","E1",,false,"2022-07"
"0042T","Ct perfusion w/contrast cbf","N",,false,"2022-07"
"0042U","B brgdrferi antb 12 prtn igg","Q4",,false,"2022-07"
"0043A","Fee covid-19 vac 5 booster","E1",,false,"2022-07"
"0043U","Tbrf b grp antb 4 prtn igm","Q4",,false,"2022-07"
"0044A","Fee covid-19 vac 5 res","E1",,false,"2022-07"
"0044U","Tbrf b grp antb 4 prtn igg","Q4",,false,"2022-07"
"00450","Anesth surgery of shoulder","N",,false,"2022-07"
"00454","Anesth collar bone biopsy","N",,false,"2022-07"
"0045U","Onc brst dux carc is 12 gene","A",,false,"2022-07"
"0046U","Flt3 gene itd variants quan","A",,false,"2022-07"
"00470","Anesth removal of rib","N",,false,"2022-07"
"00472","Anesth chest wall repair","N",,false,"2022-07"
"00474","Anesth surgery of rib","C",,false,"2022-07"
"0047U","Onc prst8 mrna 17 gene alg","A",,false,"2022-07"
"0048U","Onc sld org neo dna 468 gene","A",,false,"2022-07"
"0049U","Npm1 gene analysis quan","A",,false,"2022-07"
"00500","Anesth esophageal surgery","N",,false,"2022-07"
"0050U","Trgt gen seq dna 194 genes","A",,false,"2022-07"
"0051A","Adm sarscv2 30mcg trs-sucr 1","S",40.0,false,"2022-07"
"0051U","Rx mntr lc-ms/ms ur/bld 31","Q4",,false,"2022-07"
"00520","Anesth chest procedure","N",,false,"2022-07"
"00522","Anesth chest lining biopsy","N",,false,"2022-07"
"00524","Anesth chest drainage","C",,false,"2022-07"
"00528","Anes mediascpy & dx thorscpy","N",,false,"2022-07"
"00529","Anes medscpy&thorscpy 1 lung","N",,false,"2022-07"
"0052A","Adm sarscv2 30mcg trs-sucr 2","S",40.0,false,"2022-07"
"0052U","Lpoprtn bld w/5 maj classes","Q4",,false,"2022-07"
"00530","Anesth pacemaker insertion","N",,false,"2022-07"
"00532","Anesth vascular access","N",,false,"2022-07"
"00534","Anesth cardioverter/defib","N",,false,"2022-07"
"00537","Anesth cardiac electrophys","N",,false,"2022-07"
"00539","Anesth trach-bronch reconst","N",,false,"2022-07"
"0053A","Adm sarscv2 30mcg trs-sucr 3","S",40.0,false,"2022-07"
"0053U","Onc prst8 ca fish alys 4 gen","A",,false,"2022-07"
"00540","Anesth chest surgery","C",,false,"2022-07"
"00541","Anesth one lung ventilation","N",,false,"2022-07"
"00542","Anesthesia removal pleura","C",,false,"2022-07"
"00546","Anesth lung chest wall surg","C",,false,"2022-07"
"00548","Anesth trachea bronchi surg","N",,false,"2022-07"
"0054A","Adm sarscv2 30mcg trs-sucr b","S",40.0,false,"2022-07"
"0054T","Bone srgry cmptr fluor image","N",,false,"2022-07"
"0054U","Rx mntr 14+ drugs & sbsts","Q4",,false,"2022-07"
"00550","Anesth sternal debridement","N",,false,"2022-07"
"0055T","Bone srgry cmptr ct/mri imag","N",,false,"2022-07"
"0055U","Card hrt trnspl 96 dna seq","A",,false,"2022-07"
"00560","Anesth heart surg w/o pump","C",,false,"2022-07"
"00561","Anesth heart surg <1 yr","C",,false,"2022-07"
"00562","Anesth hrt surg w/pmp age 1+","C",,false,"2022-07"
"00563","Anesth heart surg w/arrest","N",,false,"2022-07"
"00566","Anesth cabg w/o pump","N",,false,"2022-07"
"00567","Anesth cabg w/pump","C",,false,"2022-07"
"0056U","Hem aml dna gene reargmt","A",,false,"2022-07"
"0057U","Onc sld org neo mrna 51 gene","A",,false,"2019"
"00580","Anesth heart/lung transplnt","C",,false,"2022-07"
"0058T","Cryopreservation ovary tiss","Q1",143.5,false,"2020-05-04"
"0058U","Onc merkel cll carc srm quan","Q4",,false,"2022-07"
"0059U","Onc merkel cll carc srm +/-","Q4",,false,"2022-07"
"00600","Anesth spine cord surgery","N",,false,"2022-07"
"00604","Anesth sitting procedure","C",,false,"2022-07"
"0060U","Twn zyg gen seq alys chrms2","A",,false,"2022-07"
"0061A","Fee covid-19 vac 7 dose 1","E1",,false,"2022-07"
"0061U","Tc meas 5 bmrk sfdi m-s alys","Q4",,false,"2022-07"
"00620","Anesth spine cord surgery","N",,false,"2022-07"
"00625","Anes spine tranthor w/o vent","N",,false,"2022-07"
"00626","Anes spine transthor w/vent","N",,false,"2022-07"
"0062A","Fee covid-19 vac 7 dose 2","E1",,false,"2022-07"
"0062U","Ai sle igg&igm alys 80 bmrk","Q4",,false,"2022-07"
"00630","Anesth spine cord surgery","N",,false,"2022-07"
"00632","Anesth removal of nerves","C",,false,"2022-07"
"00635","Anesth lumbar puncture","N",,false,"2022-07"
"0063A","Fee covid-19 vac 7 booster","E1",,false,"2022-07"
"0063U","Neuro autism 32 amines alg","Q4",,false,"2022-07"
"00640","Anesth spine manipulation","N",,false,"2022-07"
"0064A","Adm sarscov2 50mcg/0.25mlbst","S",40.0,false,"2022-07"
"0064U","Antb tp total&rpr ia qual","Q4",,false,"2022-07"
"0065U","Syfls tst nontreponemal antb","Q4",,false,"2022-07"
"0066U","Pamg-1 ia cervico-vag fluid","Q4",,false,"2022-07"
"00670","Anesth spine cord surgery","N",,false,"2022-07"
"0067U","Onc brst imhchem prfl 4 bmrk","A",,false,"2022-07"
"0068U","Candida species pnl amp prb","Q4",,false,"2022-07"
"0069U","Onc clrct microrna mir-31-3p","A",,false,"2022-07"
"00700","Anesth abdominal wall surg","N",,false,"2022-07"
"00702","Anesth for liver biopsy","N",,false,"2022-07"
"0070U","Cyp2d6 gen com&slct rar vrnt","A",,false,"2022-07"
"0071A","Adm sarscv2 10mcg trs-sucr 1","S",40.0,false,"2022-07"
"0071T","Us leiomyomata ablate <200","J1",2679.56,false,"2022-07"
"0071U","Cyp2d6 full gene sequence","A",,false,"2022-07"
"0072A","Adm sarscv2 10mcg trs-sucr 2","S",40.0,false,"2022-07"
"0072T","Us leiomyomata ablate >200","J1",2679.56,false,"2022-07"
"0072U","Cyp2d6 gen cyp2d6-2d7 hybrid","A",,false,"2022-07"
"00730","Anesth abdominal wall surg","N",,false,"2022-07"
"00731","Anes upr gi ndsc px nos","N",,false,"2022-07"
"00732","Anes upr gi ndsc px ercp","N",,false,"2022-07"
"0073A","Adm sarscv2 10mcg trs-sucr 3","S",40.0,false,"2022-07"
"0073U","Cyp2d6 gen cyp2d7-2d6 hybrid","A",,false,"2022-07"
"0074A","Adm sarscv2 10mcg trs-sucr b","E1",,false,"2022-07"
"0074U","Cyp2d6 nonduplicated gene","A",,false,"2022-07"
"00750","Anesth repair of hernia","N",,false,"2022-07"
"00752","Anesth repair of hernia","N",,false,"2022-07"
"00754","Anesth repair of hernia","N",,false,"2022-07"
"00756","Anesth repair of hernia","N",,false,"2022-07"
"0075T","Perq stent/chest vert art","C",,false,"2022-07"
"0075U","Cyp2d6 5' gene dup/mlt","A",,false,"2022-07"
"0076T","S&i stent/chest vert art","C",,false,"2022-07"
"0076U","Cyp2d6 3' gene dup/mlt","A",,false,"2022-07"
"00770","Anesth blood vessel repair","N",,false,"2022-07"
"0077U","Ig paraprotein qual bld/ur","Q4",,false,"2022-07"
"0078U","Pain mgt opi use gnotyp pnl","A",,false,"2022-07"
"00790","Anesth surg upper abdomen","N",,false,"2022-07"
"00792","Anesth hemorr/excise liver","C",,false,"2022-07"
"00794","Anesth pancreas removal","C",,false,"2022-07"
"00796","Anesth for liver transplant","C",,false,"2022-07"
"00797","Anesth surgery for obesity","N",,false,"2022-07"
"0079U","Cmprtv dna alys mlt snps","E1",,false,"2022-07"
"00800","Anesth abdominal wall surg","N",,false,"2022-07"
"00802","Anesth fat layer removal","N",,false,"2022-07"
"0080U","Onc lng 5 clin rsk factr alg","A",,false,"2022-07"
"00811","Anes lwr intst ndsc nos","N",,false,"2022-07"
"00812","Anes lwr intst scr colsc","N",,false,"2022-07"
"00813","Anes upr lwr gi ndsc px","N",,false,"2022-07"
"0081A","Adm sarscv2 3mcg trs-sucr 1","E1",,false,"2022-07"
"00820","Anesth abdominal wall surg","N",,false,"2022-07"
"0082A","Adm sarscv2 3mcg trs-sucr 2","E1",,false,"2022-07"
"0082U","Rx test def 90+ rx/sbsts ur","Q4",,false,"2022-07"
"00830","Anesth repair of hernia","N",,false,"2022-07"
"00832","Anesth repair of hernia","N",,false,"2022-07"
"00834","Anesth hernia repair < 1 yr","N",,false,"2022-07"
"00836","Anesth hernia repair preemie","N",,false,"2022-07"
"0083A","Fee covid-19 vac 9 booster","E1",,false,"2022-07"
"0083U","Onc rspse chemo cntrst tomog","Q4",,false,"2022-07"
"00840","Anesth surg lower abdomen","N",,false,"2022-07"
"00842","Anesth amniocentesis","N",,false,"2022-07"
"00844","Anesth pelvis surgery","C",,false,"2022-07"
"00846","Anesth hysterectomy","C",,false,"2022-07"
"00848","Anesth pelvic organ surg","C",,false,"2022-07"
"0084A","Fee covid-19 vac 9 res","E1",,false,"2022-07"
"0084U","Rbc dna gnotyp 10 bld groups","A",,false,"2022-07"
"00851","Anesth tubal ligation","N",,false,"2022-07"
"0085T","Breath test heart reject","E1",,false,"2020-05-04"
"00860","Anesth surgery of abdomen","N",,false,"2022-07"
"00862","Anesth kidney/ureter surg","N",,false,"2022-07"
"00864","Anesth removal of bladder","C",,false,"2022-07"
"00865","Anesth removal of prostate","N",,false,"2022-07"
"00866","Anesth removal of adrenal","C",,false,"2022-07"
"00868","Anesth kidney transplant","C",,false,"2022-07"
"0086U","Nfct ds bact&fng org id 6+","Q4",,false,"2022-07"
"00870","Anesth bladder stone surg","N",,false,"2022-07"
"00872","Anesth kidney stone destruct","N",,false,"2022-07"
"00873","Anesth kidney stone destruct","N",,false,"2022-07"
"0087U","Crd hrt trnspl mrna 1283 gen","A",,false,"2022-07"
"00880","Anesth abdomen vessel surg","N",,false,"2022-07"
"00882","Anesth major vein ligation","C",,false,"2022-07"
"0088U","Trnsplj kdn algrft rej 1494","A",,false,"2022-07"
"0089U","Onc mlnma prame & linc00518","Q4",,false,"2022-07"
"00902","Anesth anorectal surgery","N",,false,"2022-07"
"00904","Anesth perineal surgery","C",,false,"2022-07"
"00906","Anesth removal of vulva","N",,false,"2022-07"
"00908","Anesth removal of prostate","C",,false,"2022-07"
"0090U","Onc cutan mlnma mrna 23 gene","A",,false,"2022-07"
"00910","Anesth bladder surgery","N",,false,"2022-07"
"00912","Anesth bladder tumor surg","N",,false,"2022-07"
"00914","Anesth removal of prostate","N",,false,"2022-07"
"00916","Anesth bleeding control","N",,false,"2022-07"
"00918","Anesth stone removal","N",,false,"2022-07"
"0091A","Fee covid-19 vac 10 dose 1","E1",,false,"2022-07"
"0091U","Onc clrct scr whl bld alg","E1",,false,"2022-07"
"00920","Anesth genitalia surgery","N",,false,"2022-07"
"00921","Anesth vasectomy","N",,false,"2022-07"
"00922","Anesth sperm duct surgery","N",,false,"2022-07"
"00924","Anesth testis exploration","N",,false,"2022-07"
"00926","Anesth removal of testis","N",,false,"2022-07"
"00928","Anesth removal of testis","N",,false,"2022-07"
"0092A","Fee covid-19 vac 10 dose 2","E1",,false,"2022-07"
"0092U","Onc lng 3 prtn bmrk plsm alg","Q4",,false,"2022-07"
"00930","Anesth testis suspension","N",,false,"2022-07"
"00932","Anesth amputation of penis","C",,false,"2022-07"
